FIRE_NAME,YEAR,FIRE_SIZE,FORESTED_BURNED,SDC,CA,PLAND,PD,LPI,ED,LSI,AREA_MN,AREA_AM,AREA_CV,GYRATE_MN,GYRATE_AM,GYRATE_CV,SHAPE_MN,SHAPE_AM,SHAPE_CV,FRAC_MN,FRAC_AM,FRAC_CV,PARA_MN,PARA_AM,PARA_CV,CONTIG_MN,CONTIG_AM,CONTIG_CV,TCA,CPLAND,NDCA,DCAD,CORE_MN,CORE_AM,CORE_CV,DCORE_MN,DCORE_AM,DCORE_CV,CAI_MN,CAI_AM,CAI_CV,CLUMPY,PLADJ,IJI,COHESION,DIVISION,AI,NLSI,FIRE_TYPE1,FIRE_TYPE2,FED_LAND_1,FED_LAND_2,AGBUR1,AGBUR2,FOREST_NAME,Comment
AZ3617311197619950729_MATTHES,1995,553.2344989,553.2344989,0.0127,19.5963,3.5421,2.8921,1.71,13.4785,4.1724,1.2248,6.5096,207.7247,36.1432,109.3099,101.5824,1.2185,1.6674,25.0487,1.0435,1.0949,4.6089,945.3482,383.6895,36.6059,0.2384,0.6716,106.5083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.747,70.197,27.0082,83.5471,0.9996,75.5968,0.244,Prescribed Fire,OTHER,National Park NPS,,NPS,OTHER,Grand Canyon National Park Wilderness Study Area,
AZ3607511363219960925_TWIN_II,1996,428.6711987,343.5906391,0.0204,24.6151,7.2048,9.659,1.8834,37.9785,6.6875,0.7459,3.2612,183.6323,31.413,76.0193,83.3098,1.2194,1.6902,32.4031,1.0454,1.0993,5.5147,926.3405,555.6919,33.0292,0.2328,0.5201,91.9066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5642,55.6017,40.3886,76.1499,0.9993,59.5556,0.4044,Prescribed Fire,OTHER,National Recreation Area NPS,National Monument NPS,NPS,OTHER,Lake Mead National Recreation Area,
NM3346210765019970623_IRON_MT,1997,672.3343264,594.277224,0.0298,10.0599,1.6941,5.5573,0.3451,13.7743,6.619,0.3048,0.8418,132.7146,23.3853,40.3382,60.0443,1.149,1.3869,21.1684,1.0382,1.0771,4.6676,1096.7692,843.4063,22.7506,0.1405,0.321,116.0444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3844,35.6481,36.5257,56.6527,1,39.4872,0.6051,Prescribed Fire,OTHER,Public Domain Land BLM, ,BLM,OTHER, ,
AZ3220011057719981008_CHIMENEA,1998,807.4201585,801.6250379,0.0238,37.0688,4.6213,5.7348,0.9342,25.0236,8.2308,0.8058,3.1884,171.9484,34.2156,84.0274,87.0956,1.197,1.7092,27.4574,1.0461,1.1025,4.2554,840.1344,547.4493,34.8268,0.2953,0.5247,73.1635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5794,56.7385,31.1128,76.7715,0.9998,59.8862,0.4011,Prescribed Fire,OTHER,National Park NPS,Saguaro Wilderness,NPS,OTHER,Saguaro National Park,
AZ3615011195019981013_WALHALLA_2,1998,1356.857988,1355.92934,0.0128,20.843,1.5374,1.844,0.723,7.0844,5.1724,0.8337,5.3328,232.3022,30.8348,93.4992,92.7842,1.162,1.6114,22.2776,1.0368,1.0925,4.219,955.7618,462.3444,33.2013,0.204,0.5965,115.1332,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6723,62.8713,51.699,78.4782,0.9999,67.7333,0.3227,Prescribed Fire,OTHER,National Park NPS, ,NPS,OTHER,Grand Canyon National Park,
AZ3659411356119980709_SULLIVANTK,1998,2734.553589,1476.528193,0.0143,204.7349,13.9493,10.4244,2.8209,60.7693,16.4835,1.3381,17.2908,345.2759,38.722,186.2584,127.9448,1.2974,3.114,46.8187,1.049,1.1712,5.7372,940.3207,461.1636,33.2734,0.2273,0.6064,100.8856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595,63.7155,26.2465,89.2731,0.9984,65.1496,0.3485,Prescribed Fire,OTHER,Public Domain Land BLM,,BLM,OTHER,Grand Canyon-Parashant National Monument,
NM3345210762319980610_IRON_MT_2,1998,1680.110349,1676.763932,0.0089,59.3989,3.5449,3.4614,2.1532,14.5324,7.9167,1.0241,22.2558,455.3204,29.9189,185.8163,119.0782,1.1711,2.4034,29.4673,1.0393,1.1365,4.6062,946.1164,413.7616,30.3027,0.2064,0.6403,101.4363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6836,66.5493,38.4818,87.1979,0.9995,69.4853,0.3051,Prescribed Fire,OTHER,Public Domain Land BLM, ,BLM,OTHER, ,
AZ3362710957019991004_LOAFER_RX,1999,1077.124003,1072.928973,0.0373,10.987,1.0237,2.2362,0.1489,6.8613,5.619,0.4578,0.8081,87.4808,26.7853,37.9564,48.312,1.1464,1.2871,18.0327,1.0353,1.0598,3.4881,892.8137,678.854,32.5921,0.2519,0.4121,82.6085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5075,46.3636,7.9009,60.1959,1,51.2563,0.4874,Prescribed Fire,OTHER,Indian Reservations BIA,,BIA,OTHER,San Carlos Indian Reservation,
AZ3390811041019990327_FLYING_V,1999,1762.978717,1724.496765,0.0255,29.153,1.6919,3.482,0.1466,11.2888,9.1143,0.4859,1.0923,111.7139,28.0866,45.5549,59.2211,1.1646,1.3773,20.2789,1.0416,1.0776,4.2312,936.0774,682.2106,30.6968,0.234,0.4261,87.1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4887,46.8333,11.4,64.2059,1,49.7345,0.5027,Prescribed Fire,OTHER,Indian Reservations BIA, ,BIA,OTHER,Fort Apache Indian Reservation,
AZ3422411066119991022_CHUCKBOX,1999,4007.068835,3982.65684,0.0181,29.1143,0.7308,1.6065,0.1381,4.6528,8.5143,0.4549,1.9312,180.1445,25.126,54.1894,67.9776,1.1308,1.4519,19.5433,1.0329,1.0765,3.8801,998.5617,647.5101,29.6646,0.1883,0.4559,111.8263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5157,48.7973,36.7769,66.4604,1,51.9196,0.4808,Prescribed Fire,OTHER,Indian Reservations BIA, ,BIA,OTHER,Fort Apache Indian Reservation,
