"","fire.name","year","sdc","name.simple"
"1","az3536611193219840614_SANDERSON_1984_forestedhighsev.tif",1984,0.0146,"SANDERSON_1984"
"2","nm3302110834619850826_UNNAMED_1985_forestedhighsev.tif",1985,0.0128,"UNNAMED_1985"
"3","nm3304810841119850601_SHELLEY_1985_forestedhighsev.tif",1985,0.0287,"SHELLEY_1985"
"4","nm3340310855119850619_IRON_1985_forestedhighsev.tif",1985,0.0266,"IRON_1985"
"5","az3372210909219870615_UNNAMED_1987_forestedhighsev.tif",1987,0.0166,"UNNAMED_1987"
"6","az3444711083619870704_SLIM_1987_forestedhighsev.tif",1987,0.0101,"SLIM_1987"
"7","az3679411221919870713_WILLIS_1987_forestedhighsev.tif",1987,0.0023,"WILLIS_1987"
"8","nm3297910788419870615_ASPEN_1987_forestedhighsev.tif",1987,0.0129,"ASPEN_1987"
"9","nm3317510843719870708_UNNAMED_1987_forestedhighsev.tif",1987,0.0148,"UNNAMED_1987"
"10","nm3317910835519870612_SYCAMORE_1987_forestedhighsev.tif",1987,0.0142,"SYCAMORE_1987"
"11","nm3322910838519870613_MILLER_1987_forestedhighsev.tif",1987,0.0136,"MILLER_1987"
"12","nm3324910871619870615_HAYSTACK_1987_forestedhighsev.tif",1987,0.0282,"HAYSTACK_1987"
"13","az3136211025519880610_PEAK_1988_forestedhighsev.tif",1988,0.0101,"PEAK_1988"
"14","az3630011238619880709_DUTTON_1988_forestedhighsev.tif",1988,0.0109,"DUTTON_1988"
"15","nm3345410790219880608_UNNAMED_1988_forestedhighsev.tif",1988,0.027,"UNNAMED_1988"
"16","az3167810952819890704_SWISHELM_1989_forestedhighsev.tif",1989,0.0072,"SWISHELM_1989"
"17","az3210711021219890706_GRANITE_1989_forestedhighsev.tif",1989,0.0229,"GRANITE_1989"
"18","az3222311061819890706_CHIVA_1989_forestedhighsev.tif",1989,0.0017,"CHIVA_1989"
"19","az3272110980119890705_MARIJILDA_1989_forestedhighsev.tif",1989,0.0134,"MARIJILDA_1989"
"20","az3342710995419890706_SUMMIT_1989_forestedhighsev.tif",1989,0.0062,"SUMMIT_1989"
"21","az3461511099119890706_LAVENDER_1989_forestedhighsev.tif",1989,0.0107,"LAVENDER_1989"
"22","az3634011235419890707_MUAV_1989_forestedhighsev.tif",1989,0.0071,"MUAV_1989"
"23","nm3157010877119890616_GRAY_1989_forestedhighsev.tif",1989,0.0119,"GRAY_1989"
"24","nm3223310444419890320_DRENNAN_1989_forestedhighsev.tif",1989,0.0206,"DRENNAN_1989"
"25","nm3303310834919890615_SHELLY_1989_forestedhighsev.tif",1989,0.0067,"SHELLY_1989"
"26","nm3314910797819890616_MEASON_1989_forestedhighsev.tif",1989,0.0072,"MEASON_1989"
"27","nm3325110785319890701_DIVIDE_1989_forestedhighsev.tif",1989,0.0142,"DIVIDE_1989"
"28","nm3326310509319890419_PICACHO_1989_forestedhighsev.tif",1989,0.0164,"PICACHO_1989"
"29","az3186311049319900626_MONTOSA_1990_forestedhighsev.tif",1990,0.0043,"MONTOSA_1990"
"30","az3240411088019900524_BUSTER_1990_forestedhighsev.tif",1990,0.0287,"BUSTER_1990"
"31","az3264711040919900626_MAVERICK_1990_forestedhighsev.tif",1990,0.0085,"MAVERICK_1990"
"32","az3386710992619900630_UNNAMED_1990_forestedhighsev.tif",1990,0.0073,"UNNAMED_1990"
"33","az3438411117119900625_DUDE_1990_forestedhighsev.tif",1990,0.0038,"DUDE_1990"
