fire.name,year,sdc,name.simple,max_tmmx,max_tmmn,min_rmax,max_bi
az3536611193219840614_SANDERSON_1984_forestedhighsev.tif,1984,0.0146,SANDERSON_1984,30.85,9.75,32.8,96
nm3302110834619850826_UNNAMED_1985_forestedhighsev.tif,1985,0.0128,UNNAMED_1985,29.75,14.25,44.2,51
nm3304810841119850601_SHELLEY_1985_forestedhighsev.tif,1985,0.0287,SHELLEY_1985,36.85,16.15,34.9,87
nm3340310855119850619_IRON_1985_forestedhighsev.tif,1985,0.0266,IRON_1985,28.95,10.65,31.6,74
az3372210909219870615_UNNAMED_1987_forestedhighsev.tif,1987,0.0166,UNNAMED_1987,29.45,8.75,41.9,72
az3444711083619870704_SLIM_1987_forestedhighsev.tif,1987,0.0101,SLIM_1987,30.55,13.95,27.2,101
az3679411221919870713_WILLIS_1987_forestedhighsev.tif,1987,0.0023,WILLIS_1987,29.55,14.85,32,84
nm3297910788419870615_ASPEN_1987_forestedhighsev.tif,1987,0.0129,ASPEN_1987,27.55,10.35,35.5,66
nm3317510843719870708_UNNAMED_1987_forestedhighsev.tif,1987,0.0148,UNNAMED_1987,31.55,13.75,25.2,84
nm3317910835519870612_SYCAMORE_1987_forestedhighsev.tif,1987,0.0142,SYCAMORE_1987,30.65,12.85,30,76
nm3322910838519870613_MILLER_1987_forestedhighsev.tif,1987,0.0136,MILLER_1987,31.35,13.45,29.2,75
nm3324910871619870615_HAYSTACK_1987_forestedhighsev.tif,1987,0.0282,HAYSTACK_1987,25.45,10.35,34.4,68
az3136211025519880610_PEAK_1988_forestedhighsev.tif,1988,0.0101,PEAK_1988,34.55,17.65,29.3,103
az3630011238619880709_DUTTON_1988_forestedhighsev.tif,1988,0.0109,DUTTON_1988,34.75,14.35,49.5,59
nm3345410790219880608_UNNAMED_1988_forestedhighsev.tif,1988,0.027,UNNAMED_1988,29.05,11.75,32.2,78
az3167810952819890704_SWISHELM_1989_forestedhighsev.tif,1989,0.0072,SWISHELM_1989,36.05,17.65,39.6,73
az3210711021219890706_GRANITE_1989_forestedhighsev.tif,1989,0.0229,GRANITE_1989,37.95,22.65,36.2,81
az3222311061819890706_CHIVA_1989_forestedhighsev.tif,1989,0.0017,CHIVA_1989,34.45,20.45,35.7,73
az3272110980119890705_MARIJILDA_1989_forestedhighsev.tif,1989,0.0134,MARIJILDA_1989,27.95,13.75,40.8,64
