,FIRE_NAME,YEAR,SDC,MAX_TMMX,MAX_TMMN,MIN_RMAX,MAX_BI,MAX_ERC
1,AZ3536611193219840614_SANDERSON,1984,0.0146,30.85,9.75,32.8,96,85
2,NM3302110834619850826_UNNAMED,1985,0.0185,29.75,14.25,44.2,51,57
3,NM3304810841119850601_SHELLEY,1985,0.0235,36.85,16.15,34.9,87,89
4,NM3340310855119850619_IRON,1985,0.0262,28.95,10.65,31.6,74,79
5,NM3365710835219850621_WINDMILL,1985,0.0246,33.15,12.95,34.2,73,81
6,AZ3271411044119860617_BISCUIT,1986,0.0275,33.25,19.65,25.3,84,95
7,AZ3372210909219870615_UNNAMED,1987,0.0131,29.45,8.75,41.9,72,74
8,AZ3444711083619870704_SLIM,1987,0.0161,30.35,13.55,26.1,105,96
9,AZ3679411221919870713_WILLIS,1987,0.0045,29.55,14.85,32,84,86
10,NM3297910788419870615_ASPEN,1987,0.0151,29.35,14.05,27,78,78
11,NM3317510843719870708_UNNAMED,1987,0.0135,31.55,13.75,25.2,84,89
12,NM3317910835519870612_SYCAMORE,1987,0.016,30.65,12.85,30,76,79
13,NM3322910838519870613_MILLER,1987,0.0174,31.35,13.45,29.2,75,80
14,NM3324910871619870615_HAYSTACK,1987,0.0228,30.65,12.85,31.5,75,82
15,AZ3136211025519880610_PEAK,1988,0.0063,34.55,17.65,29.3,103,92
16,AZ3630011238619880709_DUTTON,1988,0.0148,34.75,14.35,49.5,59,72
17,NM3418010308019881115_CUSTER,1988,0.0263,20.95,0.95,47.5,63,57
18,AZ3150711033619890618_UNNAMED,1989,0.0225,38.25,18.65,27.3,115,98
19,AZ3167810952819890704_SWISSHELM,1989,0.0152,36.05,17.65,39.6,73,99
20,AZ3222311061819890706_CHIVA,1989,0.0027,34.45,20.45,35.7,73,96
21,AZ3272110980119890705_MARIJILDA,1989,0.0189,27.95,13.75,40.8,64,88
22,AZ3342710995419890706_SUMMIT,1989,0.0066,32.85,18.05,39.9,83,99
23,AZ3461511099119890706_LAVENDER,1989,0.0249,35.15,17.35,22.9,80,101
24,AZ3634011235419890707_MUAV,1989,0.0087,36.85,14.85,40.2,81,96
25,NM3157010877119890616_GRAY,1989,0.0103,35.05,13.15,35.2,108,94
26,NM3303310834919890615_SHELLY,1989,0.009,38.55,17.45,28.5,102,98
27,AZ3186311049319900626_MONTOSA,1990,0.0043,40.25,23.05,28.3,89,97
28,AZ3240411088019900524_BUSTER,1990,0.0175,38.05,19.95,19.4,94,101
29,AZ3264711040919900626_MAVERICK,1990,0.0138,38.25,21.95,23.2,100,101
30,AZ3386710992619900630_UNNAMED,1990,0.0071,34.75,17.35,45.4,63,98
31,AZ3438411117119900625_DUDE,1990,0.0023,38.55,17.35,18.4,100,104
32,NM3206110470119900513_BIG,1990,0.018,29.35,17.15,18.8,123,94
33,NM3690210483819900630_MINE,1990,0.0157,29.55,13.05,68.9,59,70
34,NM3375510885119910614_HUDSON,1991,0.0221,30.55,9.85,27.2,99,94
35,NM3319710854219920623_GOBBLER,1992,0.0145,31.95,14.65,37,89,75
36,NM3330610838619920603_CREEL,1992,0.0268,25.55,10.15,37.6,72,62
37,NM3331710853619920624_CUB,1992,0.0268,30.15,14.45,37.1,89,74
38,NM3339710823319920928_BEAVER,1992,0.0427,22.05,9.15,27.7,56,69
39,AZ3249511038219930615_MARKHAM,1993,0.0291,40.95,23.55,23.1,101,101
40,AZ3634411225219930923_NORTHWEST3,1993,0.0179,26.35,7.45,33.6,66,78
41,AZ3647311209319930616_POINT,1993,0.007,28.45,11.55,36.8,89,78
42,NM3292510552519930418_BURGETT,1993,0.0076,23.55,5.75,33.9,90,73
43,NM3321410842619930514_BRUSH,1993,0.0174,23.75,10.75,58.5,64,68
44,NM3332110782119930528_BLACKHAWK,1993,0.0181,27.95,10.65,32.8,109,85
45,NM3337010852419930716_CLAYTON,1993,0.01,28.35,13.05,42.8,63,71
46,NM3340210819419930521_BELL,1993,0.0165,27.05,10.85,34.4,84,74
47,NM3342410785719930520_WHISKEY,1993,0.0104,27.75,9.45,34.5,88,79
48,NM3360610778319930521_STONE,1993,0.0183,26.55,10.05,34.6,86,78
49,NM3589710584019930615_FRIJOLES,1993,0.0137,27.85,13.35,32.7,76,79
50,NM3594910579319930615_QUEMADO,1993,0.017,24.85,10.95,37.1,70,73
51,AZ3139511026919940603_MILLER,1994,0.0099,33.05,16.55,32.1,92,86
52,AZ3185710927019940628_RATTLESNAKE,1994,0.0051,30.75,11.85,37.6,84,79
53,AZ3218711052219940629_RINCON,1994,0.0048,34.95,19.75,37,85,88
54,AZ3224611047319940701_REDINGTON,1994,0.0069,38.45,21.85,33.6,86,93
55,AZ3287111018319940622_COTTONWOOD,1994,0.0072,36.45,21.45,39.3,83,84
56,AZ3358210907519940423_S_CANYON,1994,0.0149,23.95,6.05,54.3,100,63
57,AZ3377411100819940629_ARMOR,1994,0.0092,36.35,20.35,27.4,89,93
58,AZ3488711391119940531_MCKENZIE,1994,0.011,32.95,16.45,22.1,114,89
59,AZ3494911187819940729_LOST,1994,0.0053,32.75,15.65,40.7,55,68
60,AZ3497811293219940629_JUNIPER,1994,0.0087,37.15,20.35,23.5,97,97
61,AZ3599911386219940701_TOWERS_1,1994,0.0132,37.45,23.05,20.1,111,106
62,NM3138610871919940612_LYNCH,1994,0.0104,38.75,19.95,37.8,114,88
63,NM3145510893219940630_CLOVERDALE,1994,0.0207,35.75,19.05,36.2,100,88
64,NM3145610866919940715_ROUGH,1994,0.0172,35.25,19.55,49.9,64,87
65,NM3146710883319940611_FLAT_COMPLEX,1994,0.0149,37.05,18.55,37.6,108,88
66,NM3155610869019940612_CENTER,1994,0.0291,37.55,18.45,38.4,98,86
67,NM3209410482419940628_GAP,1994,0.0366,36.55,22.45,23.9,98,90
68,NM3233310650819940720_UNNAMED,1994,0.0217,31.55,17.55,51.9,45,64
69,NM3269410572119940603_BRIDGE,1994,0.0031,28.95,11.95,41.3,87,77
70,NM3293910820919940923_GLASS,1994,0.0062,26.25,10.85,31.6,55,54
71,NM3304410903519940525_MULE,1994,0.0089,32.65,15.35,35.1,84,83
72,NM3309010785919940614_PIGEON,1994,0.0077,31.95,15.55,39.7,87,71
73,NM3358010526419940630_PONCHO,1994,0.0107,32.45,13.05,27,81,83
74,NM3361610632819940821_UNNAMED,1994,0.0064,34.55,18.25,61.3,49,61
75,NM3367110746119940605_POT,1994,0.0075,27.25,11.15,54,75,68
76,NM3373110566319940629_PATOS,1994,0.0049,33.45,15.45,27.2,89,87
77,NM3383810759919940407_PINNACLE,1994,0.0136,21.75,8.25,40.4,58,63
78,NM3385810609819940626_IRON,1994,0.0118,39.95,21.45,22.5,89,93
79,NM3395110602319940630_LOVELACE,1994,0.0173,37.85,19.35,25,92,93
80,TX3198110486819940608_MARCUS,1994,0.0203,31.85,19.35,30.3,81,76
81,AZ3176911038719950705_UNNAMED,1995,0.0367,35.15,20.35,34.9,75,93
82,AZ3243711081519950715_SHOVEL,1995,0.009,31.95,16.75,26,88,87
83,AZ3321310992919950708_BURDETTE,1995,0.0156,33.65,18.15,30.7,74,94
84,AZ3346310928719950627_RED,1995,0.0203,31.45,12.85,43.1,96,85
85,AZ3353210910619950717_RHETT,1995,0.0126,33.65,14.85,25.7,80,78
86,AZ3396211156519950707_BASIN,1995,0.0085,37.55,19.95,30.9,78,96
87,AZ3422411078819950925_UNNAMED,1995,0.0119,24.15,9.45,37.5,55,60
88,AZ3581011374919950707_LOST,1995,0.0074,37.35,19.75,29.6,83,93
89,AZ3598911396419950730_NEWWATER,1995,0.0086,38.55,25.05,27.1,104,97
90,AZ3599011392219950630_TOWERII,1995,0.0093,37.85,22.95,25.8,91,96
91,AZ3617311197619950729_MATTHES,1995,0.0127,36.65,17.35,34.4,78,84
92,AZ3660911388419950630_TASTEFULL,1995,0.0078,35.55,22.25,24.8,86,93
93,NM3295110826119950920_Q_BALL,1995,0.0109,23.35,9.35,33.6,58,48
94,NM3318410787619950627_BONNER,1995,0.0087,27.95,12.55,33.5,91,81
95,NM3323510854019950721_SPRITE,1995,0.0114,32.55,15.15,21.6,72,81
96,NM3326010512119950623_MCKINGHT,1995,0.0326,31.85,13.55,40.6,56,66
97,NM3336910824619950407_SOUTH,1995,0.0156,19.55,4.35,40.2,85,64
98,NM3369410861319950727_HB,1995,0.0046,31.05,14.45,24.6,72,79
99,NM3372210743519950614_MILLIGAN,1995,0.0239,29.25,11.85,39.2,90,77
100,NM3382410787719950730_UNNAMED,1995,0.0147,31.45,13.05,44.2,61,74
101,UT3704611374319950730_CEDAR_POCKET,1995,0.0236,39.75,26.95,19.9,105,105
102,AZ3269010993019960424_CLARK_PEAK,1996,0.0078,23.45,7.85,14,101,103
103,AZ3368911131719960427_LONE,1996,0.0061,33.15,14.85,12.4,100,105
104,AZ3420811049919960424_WHITESPRG,1996,0.0091,28.05,7.25,17.9,103,95
105,AZ3427211029519960623_COTTONWOOD,1996,0.0109,31.55,15.25,31.2,107,100
106,AZ3460711136919960621_POT,1996,0.011,31.35,13.95,38,116,93
107,AZ3497310942219960706_HDSCRABBLE,1996,0.0194,35.65,17.45,62.6,52,58
108,AZ3522510919219960607_ALLENTOWN5,1996,0.0172,33.85,14.35,31.9,92,96
109,AZ3541611168519960620_HOCKDERFFER,1996,0.0045,28.95,12.05,42.6,119,88
110,AZ3544711175219960518_HORSESHOE,1996,0.0066,26.35,7.05,38.3,120,86
111,AZ3607511363219960925_TWIN_II,1996,0.0204,30.65,14.05,23.3,78,87
112,AZ3653211363619960829_UNNAMED,1996,0.0202,33.65,19.75,42.6,89,81
113,AZ3653611241819960620_BRIDGERKNOLL,1996,0.0069,33.05,16.15,33.9,99,90
114,AZ3658211363919960816_ONEWAYPASS,1996,0.0075,33.95,20.45,41,81,80
115,AZ3663411251419960622_JUMP,1996,0.0217,36.65,19.35,28.2,115,97
116,NM3307610556319960221_ELK_SPRING,1996,0.0101,19.05,2.25,33,97,67
117,NM3319210567219960420_CHINO_WELL,1996,0.0073,25.25,8.85,19,118,93
118,NM3323910860319960608_LOOKOUT,1996,0.0054,31.45,14.95,30.5,92,99
119,NM3327610851819960609_LANGSTROTH,1996,0.0064,30.15,14.45,35.3,86,95
120,NM3419810574419960312_PINATOSA,1996,0.0044,18.15,1.65,37,97,70
121,NM3576910637819960425_DOME,1996,0.0057,26.15,8.95,23.9,101,89
122,NM3640310496719960506_UNNAMED,1996,0.0243,29.45,9.05,21.6,95,84
123,NM3664910559119960505_HONDO,1996,0.0085,27.25,7.15,27.9,120,84
124,NM3699810700819960610_ARCHULETA,1996,0.0057,30.85,11.15,28,75,90
125,NM3150410904019970703_MAVERICK,1997,0.0108,34.25,18.45,36.3,86,91
126,NM3312210797419970421_ROCKY,1997,0.0054,24.05,9.75,31.5,91,69
127,NM3325710780119970307_UNNAMED,1997,0.0107,21.95,5.45,35.1,61,66
128,NM3333210847419970427_LILLY,1997,0.0116,24.55,8.15,33.1,81,68
129,NM3346210765019970623_IRON_MT,1997,0.0298,32.05,14.15,31.1,70,79
130,NM3578610631619970629_LUMMIS,1997,0.0134,31.45,13.65,26.1,73,74
131,AZ3220011057719981008_CHIMENEA,1998,0.0238,26.85,12.05,26.4,70,73
132,AZ3615011195019981013_WALHALLA_2,1998,0.0128,24.45,8.75,32.1,73,70
133,AZ3659411356119980709_SULLIVANTK,1998,0.0143,37.35,21.75,20.6,79,93
134,NM3345210762319980610_IRON_MT_2,1998,0.0089,32.75,13.45,29,97,94
135,NM3347910866619980928_BS,1998,0.0041,22.95,9.25,26.4,79,64
136,NM3387810848419981002_WAGONTONGUE,1998,0.0104,23.55,7.75,26.5,74,67
137,NM3602110631719980627_OSO,1998,0.0054,34.05,16.25,22.4,79,97
138,NM3668210506219980510_BEARD,1998,0.0107,25.95,7.45,35.2,82,76
139,AZ3362710957019991004_LOAFER_RX,1999,0.0373,26.65,6.15,28.6,64,64
